無_helmet	Empty_helmet	없음_helmet
茲帕伊德長槍	Zvaigzde Pike	즈바이더 파이크
貝爾塔斯茲帕伊德長槍	Berthas Zvaigzde Pike	베르타스 즈바이더 파이크
普利摩斯茲帕伊德長槍	Primus Zvaigzde Pike	프리머스 즈바이더 파이크
茲帕伊德匕首	Zvaigzde Dagger	즈바이더 대거
貝爾塔斯茲帕伊德匕首	Berthas Zvaigzde Dagger	베르타스 즈바이더 대거
普利摩斯茲帕伊德匕首	Primus Zvaigzde Dagger	프리머스 즈바이더 대거
茲帕伊德法杖	Zvaigzde Staff	즈바이더 스태프
貝爾塔斯茲帕伊德法杖	Berthas Zvaigzde Staff	베르타스 즈바이더 스태프
普利摩斯茲帕伊德法杖	Primus Zvaigzde Staff	프리머스 즈바이더 스태프
茲帕伊德手槍	Zvaigzde Pistol	즈바이더 피스톨
貝爾塔斯茲帕伊德手槍	Berthas Zvaigzde Pistol	베르타스 즈바이더 피스톨
普利摩斯茲帕伊德手槍	Primus Zvaigzde Pistol	프리머스 즈바이더 피스톨
茲帕伊德細劍	Zvaigzde Rapier	즈바이더 레이피어
貝爾塔斯茲帕伊德細劍	Berthas Zvaigzde Rapier	베르타스 즈바이더 레이피어
普利摩斯茲帕伊德細劍	Primus Zvaigzde Rapier	프리머스 즈바이더 레이피어
茲帕伊德重砲	Zvaigzde Cannon	즈바이더 캐논
貝爾塔斯茲帕伊德重砲	Berthas Zvaigzde Cannon	베르타스 즈바이더 캐논
普利摩斯茲帕伊德重砲	Primus Zvaigzde Cannon	프리머스 즈바이더 캐논
茲帕伊德火槍	Zvaigzde Musket	즈바이더 머스킷
貝爾塔斯茲帕伊德火槍	Berthas Zvaigzde Musket	베르타스 즈바이더 머스킷
普利摩斯茲帕伊德火槍	Primus Zvaigzde Musket	프리머스 즈바이더 머스킷
普拉內達布甲	Planeta Robe	플라네타 로브
烏卡斯皮革盔甲	Ukas Leather Armor	우카스 레더 아머
卡拉堤卡鋼鐵盔甲	Galaktikos Plate Armor	갈라티카 플레이트 아머
貝爾塔斯普拉內達布甲	Berthas Planeta Robe	베르타스 플라네타 로브
貝爾塔斯烏卡斯皮革盔甲	Berthas Ukas Leather Armor	베르타스 우카스 레더 아머
貝爾塔斯卡拉堤卡鋼鐵盔甲	Berthas Galaktikos Plate Armor	베르타스 갈라티카 플레이트 아머
普利摩斯普拉內達布甲	Primus Planeta Robe	프리머스 플라네타 로브
普利摩斯烏卡斯皮革盔甲	Primus Ukas Leather Armor	프리머스 우카스 레더 아머
普利摩斯卡拉堤卡鋼鐵盔甲	Primus Galaktikos Plate Armor	프리머스 갈라티카 플레이트 아머
普拉內達短褲	Planeta Pants	플라네타 팬츠
烏卡斯皮革短褲	Ukas Leather Pants	우카스 레더 팬츠
卡拉堤卡鋼鐵短褲	Galaktikos Plate Pants	갈라티카 플레이트 팬츠
貝爾塔斯普拉內達短褲	Berthas Planeta Pants	베르타스 플라네타 팬츠
貝爾塔斯烏卡斯皮革短褲	Berthas Ukas Leather Pants	베르타스 우카스 레더 팬츠
貝爾塔斯卡拉堤卡鋼鐵短褲	Berthas Galaktikos Plate Pants	베르타스 갈라티카 플레이트 팬츠
普利摩斯普拉內達短褲	Primus Planeta Pants	프리머스 플라네타 팬츠
普利摩斯烏卡斯皮革短褲	Primus Ukas Leather Pants	프리머스 우카스 레더 팬츠
普利摩斯卡拉堤卡鋼鐵短褲	Primus Galaktikos Plate Pants	프리머스 갈라티카 플레이트 팬츠
普拉內達靴子	Planeta Boots	플라네타 부츠
烏卡斯皮革靴子	Ukas Leather Boots	우카스 레더 부츠
卡拉堤卡脛靴	Galaktikos Greaves	갈라티카 그리브
沙烏席斯皮革靴子	Sausis Leather Boots	사우시스 레더 부츠
貝爾塔斯普拉內達靴子	Berthas Planeta Boots	베르타스 플라네타 부츠
貝爾塔斯烏卡斯皮革靴子	Berthas Ukas Leather Boots	베르타스 우카스 레더 부츠
貝爾塔斯卡拉堤卡脛靴	Berthas Galaktikos Greaves	베르타스 갈라티카 그리브
普利摩斯普拉內達靴子	Primus Planeta Boots	프리머스 플라네타 부츠
普利摩斯烏卡斯皮革靴子	Primus Ukas Leather Boots	프리머스 우카스 레더 부츠
普利摩斯卡拉堤卡脛靴	Primus Galaktikos Greaves	프리머스 갈라티카 그리브
普拉內達手套	Planeta Gloves	플라네타 글로브
烏卡斯皮革手套	Ukas Leather Gloves	우카스 레더 글로브
卡拉堤卡手套	Galaktikos Gauntlets	갈라티카 건틀릿
貝爾塔斯普拉內達手套	Berthas Planeta Gloves	베르타스 플라네타 글로브
貝爾塔斯烏卡斯皮革手套	Berthas Ukas Leather Gloves	베르타스 우카스 레더 글로브
貝爾塔斯卡拉堤卡手套	Berthas Galaktikos Gauntlets	베르타스 갈라티카 건틀릿
沙烏席斯手套	Sausis Gloves	사우시스 글로브
普利摩斯普拉內達手套	Primus Planeta Gloves	프리머스 플라네타 글로브
普利摩斯烏卡斯皮革手套	Primus Ukas Leather Gloves	프리머스 우카스 레더 글로브
普利摩斯卡拉堤卡手套	Primus Galaktikos Gauntlets	프리머스 갈라티카 건틀릿
將軍的禮物	General's Gift	장군의 선물
終結的禮物	Gift of Demise	종말의 선물
畢業生的禮物	Graduation Gift	졸업자의 선물
納帕克利斯塔斯項鍊	Nepagristas Necklace	네파그리스타스 네클리스
納梅特瑪斯項鍊	Nematomas Necklace	네메트마스 네클리스
蘭高貝斯項鍊	Rangovas Necklace	랜고베스 네클리스
希米爾的遺產	Himil Legacy	히밀의 유산
夏班的手環碎片	Schaffen Bracelet Fragment	샤펜의 팔찌 조각
異端者的手環	Heretic's Bracelet	이단자의 팔찌
納帕克利斯塔斯手鐲	Nepagristas Bracelet	네파그리스타스 브레이슬릿
納梅特瑪斯手鐲	Nematomas Bracelet	네메트마스 브레이슬릿
蘭高貝斯手鐲	Rangovas Bracelet	랜고베스 브레이슬릿
浪漫水手套裝(男)	Romantic Sailor Costume (Male)	로맨틱 세일러 코스튬(남)
浪漫水手套裝(女)	Romantic Sailor Costume (Female)	로맨틱 세일러 코스튬(여)
海軍風海灘套裝(男)	Marine Beachwear Costume (Male)	마린 비치웨어 코스튬(남)
海軍風海灘套裝(女)	Marine Beachwear Costume (Female)	마린 비치웨어 코스튬(여)
夏季海灘套裝(男)	Summer Beachwear Costume (Male)	서머 비치웨어 코스튬(남)
夏季海灘套裝(女)	Summer Beachwear Costume (Female)	서머 비치웨어 코스튬(여)
浪漫水手海豚套裝(男)	Romantic Sailor Whale Costume (Male)	로맨틱 세일러 돌핀 코스튬(남)
浪漫水手海豚套裝(女)	Romantic Sailor Whale Costume (Female)	로맨틱 세일러 돌핀 코스튬(여)
海軍風海灘海豚套裝(男)	Marine Beachwear Whale Costume (Male)	마린 비치웨어 돌핀 코스튬(남)
海軍風海灘海豚套裝(女)	Marine Beachwear Whale Costume (Female)	마린 비치웨어 돌핀 코스튬(여)
夏季海灘海豚套裝(男)	Summer Beachwear Whale Costume (Male)	서머 비치웨어 돌핀 코스튬(남)
夏季海灘海豚套裝(女)	Summer Beachwear Whale Costume (Female)	서머 비치웨어 돌핀 코스튬(여)
[網咖] 黑色執事套裝(男)	[PP] Black Butler Costume (Male)	[PC방] 블랙 버틀러 코스튬(남)
[網咖] 黑色女僕套裝(女)	[PP] Black Maid Costume (Female)	[PC방] 블랙 메이드 코스튬(여)
海軍貝雷帽	Marine Beret	마린 베레모
水手貝雷帽	Sailor Beret	세일러 베레모
藍色鐵錨	Blue Anchor	블루 앵커
海軍條紋眼鏡	Marine Stripe Glasses	마린 스트라이프 안경
浪漫海軍領巾	Romantic Marine Scarf	로맨틱 마린 스카프
燈塔	Lighthouse	등대
[網咖] 橘色兔耳朵	[PP] Orange Rabbit Ears	[PC방] 주황색 토끼 귀
紅色蝴蝶結	Red Hair Bow	레드 헤어 보우
大紅色蝴蝶結	Big Red Hair Bow	빅 레드 헤어 보우
海軍手槍	Marine Pistol	마린 피스톨
手槍[外型變更專用]	Pistol [Appearance]	권총[외형 변경 전용]
海軍火槍	Marine Musket	마린 머스킷
火槍[外型變更專用]	Musket [Appearance]	머스킷[외형 변경 전용]
海軍權杖	Marine Rod	마린 로드
權杖[外型變更專用]	Rod [Appearance]	로드[외형 변경 전용]
海軍法杖	Marine Staff	마린 스태프
法杖[外型變更專用]	Staff [Appearance]	스태프[외형 변경 전용]
望遠鏡	Telescope	망원경
燈塔照明	Lighthouse Flashlight	등대 조명
小海豚手槍	Little Whale Pistol	리틀 돌핀 피스톨
[For 10] 死亡魔女卡特短劍 (30天)	[R10] Deathweaver Cutter (30 Days)	[For 10] 데스위버 커터 (30일)
[For 10] 死亡魔女利牙 (30天)	[R10] Deatheweaver Tooth (30 Days)	[For 10] 데스위버 투스 (30일)
[For 10] 死亡魔女權杖 (30天)	[R10] Deathweaver Rod (30 Days)	[For 10] 데스위버 로드 (30일)
[For 10] 梅利娜斯法杖 (30天)	[R10] Melinas Staff (30 Days)	[For 10] 멜리나스 스태프 (30일)
[For 10] 死亡魔女弓 (30天)	[R10] Deathweaver Bow (30 Days)	[For 10] 데스위버 보우 (30일)
[For 10] 死亡魔女十字弓 (30天)	[R10] Deathweaver Crossbow (30 Days)	[For 10] 데스위버 크로스보우 (30일)
[For 10] 布貝晨星錘 (30天)	[R10] Vubbe Morning Star (30 Days)	[For 10] 부베 모닝스타 (30일)
[For 10] 布貝盔甲 (30天)	[R10] Vubbe Armor (30 Days)	[For 10] 부베 아머 (30일)
[For 10] 布貝短褲 (30天)	[R10] Vubbe Pants (30 Days)	[For 10] 부베 팬츠 (30일)
[For 10] 凱米尼斯劍 (30天)	[R10] Cheminis Sword (30 Days)	[For 10] 케미니스 소드 (30일)
[For 10] 死靈查普利雙手劍 (30天)	[R10] Chapparition Two-handed Sword (30 Days)	[For 10] 채퍼리션 투 핸드 소드 (30일)
[For 10] 死靈查普利權杖 (30天)	[R10] Chapparition Rod (30 Days)	[For 10] 채퍼리션 로드 (30일)
[For 10] 帕特里斯法杖 (30天)	[R10] Patrice Staff (30 Days)	[For 10] 파트리스 스태프 (30일)
[For 10] 死靈查普利弓 (30天)	[R10] Chapparition Bow (30 Days)	[For 10] 채퍼리션 보우 (30일)
[For 10] 死靈查普利射手弓 (30天)	[R10] Chapparition Shooter (30 Days)	[For 10] 채퍼리션 슈터 (30일)
[For 10] 死靈查普利鈍器 (30天)	[R10] Chapparition Mace (30 Days)	[For 10] 채퍼리션 메이스 (30일)
[For 10] 鍍銀矛槍 (30天)	[R10] Silver Spear (30 Days)	[For 10] 실버 스피어 (30일)
[For 10] 凱米尼斯長槍 (30天)	[R10] Cheminis Pike (30 Days)	[For 10] 케미니스 파이크 (30일)
[For 10] 馬克上衣 (30天)	[R10] Mark Tunic (30 Days)	[For 10] 마크 튜닉 (30일)
[For 10] 馬克短褲 (30天)	[R10] Mark Pants (30 Days)	[For 10] 마크 팬츠 (30일)
[For 10] 杜蘭朵劍 (30天)	[R10] Durandal (30 Days)	[For 10] 듀란달 (30일)
[For 10] 弗拉米尼劍 (30天)	[R10] Flamini (30 Days)	[For 10] 플라미니 (30일)
[For 10] 賽克雷頓權杖 (30天)	[R10] Secretum (30 Days)	[For 10] 세크레툼 (30일)
[For 10] 燭火法杖 (30天)	[R10] Candle Staff (30 Days)	[For 10] 캔들 스태프 (30일)
[For 10] 心之探索者弓 (30天)	[R10] Heart Seeker (30 Days)	[For 10] 하트 시커 (30일)
[For 10] 射擊之星 (30天)	[R10] Shooting Star (30 Days)	[For 10] 슈팅스타 (30일)
[For 10] 艾沙奇烏鈍器 (30天)	[R10] Escanciu Mace (30 Days)	[For 10] 에산치우 메이스 (30일)
[For 10] 末日矛槍 (30天)	[R10] Doom Spear (30 Days)	[For 10] 둠 스피어 (30일)
[For 10] 拉伊戴卡矛槍 (30天)	[R10] Laideca (30 Days)	[For 10] 라이데카 (30일)
[For 10] 鎧甲盔甲 (30天)	[R10] Brigandine Armor (30 Days)	[For 10] 브리간딘 아머 (30일)
[For 10] 鎧甲短褲 (30天)	[R10] Brigandine Pants (30 Days)	[For 10] 브리간딘 팬츠 (30일)
[For 10] 貝爾尼烏波劍 (30天)	[R10] Velniup (30 Days)	[For 10] 벨니웁 (30일)
[For 10] 堤爾利雙手劍 (30天)	[R10] Tily Two-handed Sword (30 Days)	[For 10] 틸리 투 핸드 소드 (30일)
[For 10] 黛梅雷權杖 (30天)	[R10] Temere (30 Days)	[For 10] 테메레 (30일)
[For 10] 向日葵法杖 (30天)	[R10] Sunflower (30 Days)	[For 10] 선플라워 (30일)
[For 10] 狂野汎弓 (30天)	[R10] Wilding Bane (30 Days)	[For 10] 와이들링 베인 (30일)
[For 10] 賽伊摩斯十字弓 (30天)	[R10] Seimos Crossbow (30 Days)	[For 10] 세이모스 크로스보우 (30일)
[For 10] 賽伊摩斯鈍器 (30天)	[R10] Seimos Mace (30 Days)	[For 10] 세이모스 메이스 (30일)
[For 10] 賽伊摩斯矛槍 (30天)	[R10] Seimos Spear (30 Days)	[For 10] 세이모스 스피어 (30일)
[For 10] 賽伊摩斯長槍 (30天)	[R10] Seimos Pike (30 Days)	[For 10] 세이모스 파이크 (30일)
[For 10] 狩獵盔甲 (30天)	[R10] Hunting Armor (30 Days)	[For 10] 헌팅 아머 (30일)
[For 10] 狩獵短褲 (30天)	[R10] Hunting Pants (30 Days)	[For 10] 헌팅 팬츠 (30일)
[For 10] 烈焰 (30天)	[R10] Flame (30 Days)	[For 10] 플레임 (30일)
[For 10] 天堂地獄劍 (30天)	[R10] Hell and Heaven (30 Days)	[For 10] 헬 엔드 헤븐 (30일)
[For 10] 卡斯堤權杖 (30天)	[R10] Casti Rod (30 Days)	[For 10] 카스티 로드 (30일)
[For 10] 瑪雷杜姆法杖 (30天)	[R10] Maledoom (30 Days)	[For 10] 말레둠 (30일)
[For 10] 卡斯堤弓 (30天)	[R10] Casti Bow (30 Days)	[For 10] 카스티 보우 (30일)
[For 10] 卡拉恰十字弓 (30天)	[R10] Karacha Crossbow (30 Days)	[For 10] 카라챠 크로스보우 (30일)
[For 10] 德雷克尾翼棒 (30天)	[R10] Drake Tail (30 Days)	[For 10] 드레이크 테일 (30일)
[For 10] 卡斯堤矛槍 (30天)	[R10] Casti Spear (30 Days)	[For 10] 카스티 스피어 (30일)
[For 10] 瑪加斯長槍 (30天)	[R10] Magas Pike (30 Days)	[For 10] 마가스 파이크 (30일)
[For 10] 決鬥者 (30天)	[R10] Duelist (30 Days)	[For 10] 듀얼리스트 (30일)
[For 10] 老將上衣 (30天)	[R10] Veteran Tunic (30 Days)	[For 10] 베테랑 튜닉 (30일)
[For 10] 老將短褲 (30天)	[R10] Veteran Pants (30 Days)	[For 10] 베테랑 팬츠 (30일)
[For 10] 班夏拉劍 (30天)	[R10] Pensara Sword (30 Days)	[For 10] 펜사라 소드 (30일)
[For 10] 班夏拉雙手劍 (30天)	[R10] Pensara Two-handed Sword (30 Days)	[For 10] 펜사라 투 핸드 소드 (30일)
[For 10] 班夏拉權杖 (30天)	[R10] Pensara Rod (30 Days)	[For 10] 펜사라 로드 (30일)
[For 10] 力量法杖 (30天)	[R10] Power Staff (30 Days)	[For 10] 파워 스태프 (30일)
[For 10] 神射之弓 (30天)	[R10] Marksman (30 Days)	[For 10] 마크맨 (30일)
[For 10] 迪德爾格蘭德十字弓 (30天)	[R10] Didel Grand Cross (30 Days)	[For 10] 디델 그랜드 크로스 (30일)
[For 10] 班夏拉鈍器 (30天)	[R10] Pensara Mace (30 Days)	[For 10] 펜사라 메이스 (30일)
[For 10] 班夏拉矛槍 (30天)	[R10] Pensara Spear (30 Days)	[For 10] 펜사라 스피어 (30일)
[For 10] 班夏拉長槍 (30天)	[R10] Pensara Pike (30 Days)	[For 10] 펜사라 파이크 (30일)
[For 10] 斯帕達輕劍 (30天)	[R10] Spada (30 Days)	[For 10] 스파다 (30일)
[For 10] 終結者 (30天)	[R10] Finisher (30 Days)	[For 10] 피니셔 (30일)
[For 10] 強盜盔甲 (30天)	[R10] Bandit Armor (30 Days)	[For 10] 밴딧 아머 (30일)
[For 10] 強盜短褲 (30天)	[R10] Bandit Pants (30 Days)	[For 10] 밴딧 팬츠 (30일)
[For 10] 普利摩斯米坎堤之劍 (30天)	[R10] Primus Migantis Sword (30 Days)	[For 10] 프리머스 미간티스 소드 (30일)
[For 10] 普利摩斯米坎堤雙手劍 (30天)	[R10] Primus Migantis Two-handed Sword (30 Days)	[For 10] 프리머스 미간티스 투 핸드 소드 (30일)
[For 10] 普利摩斯米坎堤權杖 (30天)	[R10] Primus Migantis Rod (30 Days)	[For 10] 프리머스 미간티스 로드 (30일)
[For 10] 普利摩斯米坎堤弓 (30天)	[R10] Primus Migantis Bow (30 Days)	[For 10] 프리머스 미간티스 보우 (30일)
[For 10] 普利摩斯米坎堤十字弓 (30天)	[R10] Primus Migantis Crossbow (30 Days)	[For 10] 프리머스 미간티스 크로스보우 (30일)
[For 10] 普利摩斯米坎堤鈍器 (30天)	[R10] Primus Migantis Mace (30 Days)	[For 10] 프리머스 미간티스 메이스 (30일)
[For 10] 普利摩斯米坎堤雙手鈍器 (30天)	[R10] Primus Migantis Two-handed Mace (30 Days)	[For 10] 프리머스 미간티스 투 핸드 메이스 (30일)
[For 10] 普利摩斯米坎堤矛槍 (30天)	[R10] Primus Migantis Spear (30 Days)	[For 10] 프리머스 미간티스 스피어 (30일)
[For 10] 普利摩斯米坎堤長槍 (30天)	[R10] Primus Migantis Pike (30 Days)	[For 10] 프리머스 미간티스 파이크 (30일)
[For 10] 普利摩斯米坎堤法杖 (30天)	[R10] Primus Migantis Staff (30 Days)	[For 10] 프리머스 미간티스 스태프 (30일)
[For 10] 普利摩斯米坎堤手槍 (30天)	[R10] Primus Migantis Pistol (30 Days)	[For 10] 프리머스 미간티스 피스톨 (30일)
[For 10] 普利摩斯米坎堤細劍 (30天)	[R10] Primus Migantis Rapier (30 Days)	[For 10] 프리머스 미간티스 레이피어 (30일)
[For 10] 普利摩斯米坎堤重砲 (30天)	[R10] Primus Migantis Cannon (30 Days)	[For 10] 프리머스 미간티스 캐논 (30일)
[For 10] 普利摩斯米坎堤火槍 (30天)	[R10] Primus Migantis Musket (30 Days)	[For 10] 프리머스 미간티스 머스킷 (30일)
[For 10] 普利摩斯阿比努薩皮革盔甲 (30天)	[R10] Primus Albinosas Leather Armor (30 Days)	[For 10] 프리머스 알비노사스 레더 아머 (30일)
[For 10] 普利摩斯阿比努薩皮革短褲 (30天)	[R10] Primus Albinosas Leather Pants (30 Days)	[For 10] 프리머스 알비노사스 레더 팬츠 (30일)
[For 10] 普利摩斯芙迪邁絲之劍 (30天)	[R10] Primus Pevordimas Sword (30 Days)	[For 10] 프리머스 페버디마스 소드 (30일)
[For 10] 普利摩斯芙迪邁絲雙手劍 (30天)	[R10] Primus Pevordimas Two-handed Sword (30 Days)	[For 10] 프리머스 페버디마스 투 핸드 소드 (30일)
[For 10] 普利摩斯芙迪邁絲權杖 (30天)	[R10] Primus Pevordimas Rod (30 Days)	[For 10] 프리머스 페버디마스 로드 (30일)
[For 10] 普利摩斯芙迪邁絲弓 (30天)	[R10] Primus Pevordimas Bow (30 Days)	[For 10] 프리머스 페버디마스 보우 (30일)
[For 10] 普利摩斯芙迪邁絲十字弓 (30天)	[R10] Primus Pevordimas Crossbow (30 Days)	[For 10] 프리머스 페버디마스 크로스보우 (30일)
[For 10] 普利摩斯芙迪邁絲鈍器 (30天)	[R10] Primus Pevordimas Mace (30 Days)	[For 10] 프리머스 페버디마스 메이스 (30일)
[For 10] 普利摩斯芙迪邁絲雙手鈍器 (30天)	[R10] Primus Pevordimas Two-handed Sword (30 Days)	[For 10] 프리머스 페버디마스 투 핸드 메이스 (30일)
[For 10] 普利摩斯芙迪邁絲矛槍 (30天)	[R10] Primus Pevordimas Spear (30 Days)	[For 10] 프리머스 페버디마스 스피어 (30일)
[For 10] 普利摩斯芙迪邁絲長槍 (30天)	[R10] Primus Pevordimas Pike (30 Days)	[For 10] 프리머스 페버디마스 파이크 (30일)
[For 10] 普利摩斯芙迪邁絲法杖 (30天)	[R10] Primus Pevordimas Staff (30 Days)	[For 10] 프리머스 페버디마스 스태프 (30일)
[For 10] 普利摩斯芙迪邁絲手槍 (30天)	[R10] Primus Pevordimas Pistol (30 Days)	[For 10] 프리머스 페버디마스 피스톨 (30일)
