攻擊	Attack	공격
普利耶努組合	Frienoet	프리에노 세트
Stack型防禦力增加	Stack Defense Increase	스택형 방어력 증가
帕希烏泰斯組合	Pasiuteset	파시우테스 세트
Stack型防禦力確認用途	Stack Defense Check	스택형 방어력 체크용도
帕希烏泰斯組合確認	Pasiuteset Check	파시우테스 세트 체크
Stack型魔攻確認用途	Stack Magic Attack Check	스택형 마공 체크 용도
利嫰奇希特組合確認	Lynnki Sit Set Check	리느키 시트 세트 체크
Stack型魔攻增加	Stack Magic Attack Increase	스택형 마공 증가
利嫰奇希特組合	Lynnki Sit Set	리느키 시트 세트
烤魚	Grilled Fish	생선 구이
波勒派絲/培里歐爆炸Buff	Varpas/Verijo Explosion Buff	바르파스/배리오 폭발 버프
波勒派絲/培里歐裝備爆炸計數及攻擊Buff	Varpas/Verijo Equipment Explosion Countdown and Attack Buff	바르파스/배리오 장비 폭발 카운트및 공격 버프
波勒派絲/培里歐爆炸延遲	Varpas/Verijo Explosion Delay	바르파/배리오 폭발 딜레이
波勒派絲/培里歐裝備爆炸延遲Buff	Varpas/Verijo Equipment Explosion Delay Buff	바르파스/배리오 장비 폭발 딜레이 버프
粉紅小花怪持有中	Hanaming	하나밍 보유중
物理、魔法攻擊力 +100	Physical and magic attack +100	물리, 마법 공격력 +100
物理、魔法防禦力 +100	Physical and magic defense +100	물리, 마법 방어력 +100
隊伍戰鬥聯盟第1名	Team Battle League 1st Place	팀 배틀 리그 1위
隊伍戰鬥聯盟第2名	Team Battle League 2nd Place	팀 배틀 리그 2위
隊伍戰鬥聯盟第3名	Team Battle League 3rd Place	팀 배틀 리그 3위
獵鯨人	Stone Spirit	고래 사냥꾼
隱藏Buff	Hide Buff	하이드 버프
米飯餌	Paste Bait	떡밥
黃金漁場	Golden Fishing Spot	황금어장
滾動雪球Attach 	Snow Rolling Attached	스노우롤링어태치
貓咪的恩惠	Tuxedo Cat	고양이의 은혜
迴避率增加	Increased evasion rate	회피율 증가
盾牌集氣啟動中	Shield Charger Activated	실드 차져 가동중
物理/魔方防禦力減少	Decreased Physical/Magical Defense	물리/마법 방어력 감소
GM 攻擊力	GM Attack 	GM 공격력
GM 防禦力	GM Defense 	GM 방어력
GM 最大HP	GM Max HP 	GM 최대HP
一流冒險家	First-rate Adventurer	초일류 모험가
已達成冒險日誌排名第1名。	Achieved 1st place in the Adventure Journal	모험일지 랭킹 1위를 달성했습니다
奎波爾的祈禱	Kupole's Prayer	큐폴의 기도
有嚴重浪費癖的救援者	Thrifty Savior	낭비벽이 심한 구원자
已達成冒險日誌道具消費排名第1名。	Achieved 1st place for item consumption in the Adventure Journal	모험일지 아이템 소비 랭킹 1위를 달성했습니다
獲得的傷害減少	Decreased received damage	받는 대미지 감소
獲得的傷害減少	Damage received decrease	받는 피해 감소
守護者	Guardian	수호자
堅固的皮膚	Thick Skin	견고한 피부
使用雙手鈍器	Use Two-handed Blunt Weapon	양손둔기 사용
* 可以裝備[雙手鈍器]系列武器	* Can equip [Two-handed Blunt] type weapons	* [양손둔기] 계열 무기 착용 가능
亞卡利歐基本攻擊	Creepy Klaipeda Basic Attack	아가리오 기본 공격
糖果疾走	Candy Dash	캔디 대쉬
亞卡利歐基本攻擊2	Creepy Klaipeda Basic Attack2	아가리오 기본 공격2
亞卡利歐基本攻擊3	Creepy Klaipeda Basic Attack3	아가리오 기본 공격3
亞卡利歐基本攻擊4	Creepy Klaipeda Basic Attack4	아가리오 기본 공격4
扇子	Fan	부채
雙槍攻擊	Double Pistol Attack	쌍권총 공격
紅絨布反擊	Muleta counter attack	물레타 반격
雷電之手基本攻擊	Lightning Hands Basic Attack	라이트닝 핸즈 기본 공격
雷電之手	Lightning Hands	라이트닝 핸즈
泰拳攻擊	Nak Muay Attack	낙무아이 공격
火槍攻擊	Musket Attack	머스킷 공격
綠色煙火	Fireworks Green	불꽃놀이 녹색
火焰彈	Flame	화염 탄
對敵人發射火焰彈	Shoot Flame to enemy	적에게 화염 탄을 발사합니다
電氣彈	Lightning	전기 탄
對敵人發射雷彈	Shoot Lightning to enemy	적에게 뇌 탄을 발사합니다
寒氣彈	Chill	냉기 탄
對敵人發射寒氣彈	Shoot Chill to enemy	적에게 냉기 탄을 발사합니다
網鬥士任務技能1	Quest Skill 1	레티아리이 퀘스트 스킬1
雪人玩具	Magical Snowman Wand	눈사람 장난감
聖誕鐘玩具	Christmas Handbell	크리스마스 종 장난감
盾牌衝擊	Shield Train	실드 트레인
繼承者烏克奴思	Sprint	스프린트
龍墜	Dragon Fall	드래곤 폴
不可侵犯的領域	Non-Invasive Area	불가침 영역
預防	Prevent	프리벤트
隆格米安特	Rhongomiant	롱고미안트
紅布挑釁	Capote	카포티
紅絨布	Muleta	물레타
連續劈刺	Faena	파에나
歡呼	Ole	올레
鬥牛舞	Paso Doble	파소 도블레
滑行迴避	Back Slide	백 슬라이드
衰弱	Enervation	에너베이션
惡魔爪擊	Demon Scratch	데몬 스크래치
傳送商店	Portal Shop	포탈 상점
傳點可開啟次數3次	Up to 3 saved locations may be used	포탈 개시 가능 수 3회
空間壓縮	Dimension Compression	디멘션 컴프레션
大地強化	Enchant Earth	인챈트 어스
暗影荊棘	Shadow Thorn	섀도우 쏜
暗影魔法	Shadow Conjuration	섀도우 컨저레이션
暗影沼澤	Shadow Pool	섀도우 풀
幻影分身	Hallucination 	할루시네이션
暗影束縛	Shadow Fetter	섀도우 페터
大砲轟炸	Sweeping Cannon	스위핑 캐논
狙擊手的沉著	Sniper's Serenity	스나이퍼즈 세레니티
連續斬擊	Grind Cutter	그라인드 커터
箭雨	Down Fall	다운 폴
銀彈	Silver Bullet	실버불릿
電擊彈	Tase	테이즈
燃燒彈	Napalm Bullet	소이탄
全金屬包覆彈	Full Metal Jacket	풀 메탈 자켓
雙槍姿態	Double Gun Stance	더블 건 스탠스
血腥殺戮	Bloody Overdrive	블러디 오버드라이브
粉碎彈	Smash Bullet	파쇄탄
曳光彈	Tracer Bullet	예광탄
莫三比克射擊法	Mozambique Drill	모잠비크 드릴
庇護	Sanctuary	생츄어리
摧毀	Demolition	데몰리션
美沙酮	Methadone	메타돈
權能輪	Gevura	게부라
審判	Judgment	저지먼트
所以要變身為他信任的巨錘王，告知欺瞞的哈勃克的計畫，{nl}猜忌的哈勃克很清楚自己的實力劣於其他的哈勃克。	Divine Punishment	천형부
無懈可擊	Invulnerable 	인버너러블
犧牲	Immolation	이몰레이션
瞬移	Beady Eyed	비디 아이드
狂熱	Fanaticism 	파나티시즘
狂熱幻覺	Fanatic Illusion	파나틱 일루젼
盲目信仰	Blind Faith	블라인드 페이쓰
壓縮	Condensation	콘덴세이션
魔法攻擊無效化	Dispel Magic Attack	마법 공격 무효화
那就是紀錄寶珠創造裝置，{nl}只要在裝置寫下注意事項，就會出現紀錄的寶珠。	Put enemies in Iron Maiden	적을 아이언 메이든에 가둠
雖然選擇單字時想必有一定程度的難度，但你表現得很好，所以紀錄寶珠完成了。	Debuff Immunity	디버프에 면역됨
比較帶來的黑色哈路卡爾精髓後，製造出能區分野心哈勃克精銳部下的印章。{nl}使用識別印章分辨野心哈勃克的部下後，使用紀錄寶珠。	Immune to Knockback and Knockdown	넉백, 넉다운 면역 상태
看來得告訴你使用紀錄寶珠時的注意事項才行！{nl}紀錄寶珠烙印在腦海中的時間並不長。	Cursed characters will receive additional damage when hit	저주를 건 캐릭터에게 피격 시 추가 대미지를 입음
挑釁周圍敵人的狀態	Surrounding enemies are provoked	주변 적을 도발한 상태
Seed red	SeeRed	씨레드
可格擋魔法的狀態。	Able to block magic	마법 블록이 가능한 상태입니다.
火屬性傷害	Fire Property Damage	불 속성 피해
暴擊機率增加	Critical Chance Increase	치명타 확률 증가
暴擊傷害增加	Critical Damage Increase	치명타 피해 증가
暗影侵蝕	Shadow Trap	그림자 잠식
迴避增加	Increase Evasion	회피 증가
粒子空間後遺症	Micro Dimension After Effects	마이크로 디멘션 후유증
終極空間後遺症	Ultimate Dimension After Effects	얼티밋 디멘션 후유증
周期性HP減少	Periodical HP Reduction	주기적인 HP 감소
物理防禦力和魔法防禦力增加，攻擊時，依增加的防禦力賦予追加傷害	Physical and magic defense increased and additional damage while attack	물리 방어력과 마법 방어력이 증가하고 공격 시 증가한 방어력만큼 추가 대미지
暫時免疫壓縮	Condensation Immunity	콘덴세이션일시면역
元素效果	Elemental Effect	원소 효과
凱特力斯屬性傷害增加藥水效果	Keitrys Elemental Enhance Potion Effect	케이트리스 속성 대미지 증가 포션 효과
火焰屬性追加傷害增加	Increases additional flame damage	화염 속성 추가 대미지 증가
火焰屬性追加傷害+200	Flame damage +200	화염 속성 추가 대미지 +200
冰屬性追加傷害增加	Increases additional ice damage	얼음 속성 추가 대미지 증가
冰屬性追加傷害+200	Ice damage +200	얼음 속성 추가 대미지 +200
電屬性追加傷害增加	Increases additional lightning damage	전기 속성 추가 대미지 증가
電屬性追加傷害+200	Lightning damage +200	전기 속성 추가 대미지 +200
地屬性追加傷害增加	Increases additional earth damage	땅 속성 추가 대미지 증가
地屬性追加傷害+200	Earth damage +200	땅 속성 추가 대미지 +200
屬性詛咒發生效果	Elemental curse effects 	속성 저주 발생 효과
HP自然恢復量增加	Increases natural recovery of HP	HP 자연 회복량 증가
格擋減少	Decreases Block 	블럭 감소
衝突	Charge	충돌
衝突後遺症	Charge After Effects	충돌 후유증
摩西尼奧斯雙手槍	Masinios Two-handed Spear	마시니오스 양손창
瑪西尼歐雙手槍	Masinios Two-handed Spear	마시니오 양손창
瑪西尼歐細劍	Masinios Rapier	마시니오 레이피어
銳利	Sharpness	예리함
暴擊攻擊力增加60，最多重疊5次	Increase 60 Critical Damage Maximum 5 Stacks	치명타 공격력 60증가 최대 5 중첩
5連擊	5 consecutive attacks	5연격
套用基本攻擊5次	Applying basic attack 5 times	기본 공격 5회 적용
集中精神	Concentration of mind	정신 집중
精神上升5	Increase 5 SPR	정신이 5 상승
鬥氣	Fighting Spirit	투기
5秒內持續堆疊5次時，發動戰鬥狂效果	Attack war aficionado effect during 5 second per 5 stacks	5초간 지속 5스택 쌓일 경우 전투광 효과 발동
戰鬥狂	War aficionado	전투광
電屬性追加攻擊	Lightning Shock additional Effect	전기 속성 추가 공격
移動速度增加 +3。	Increases Movement Speed +3	이동 속도 +3 증가합니다.
製作寒氣彈、火焰彈、電氣彈基本上需要帶有魔力的粉末。{nl}夏頓蓄水區裡有發著紅光的魔力凝聚器。{nl}{nl}魔力凝聚器發出紅光啟動的時候，可以消滅充滿魔氣的怪物，把他們的肉塊放入裡面。	Cannot gain EXP	경험치 획득 불가
寵物停車	Park Companion	컴패니언 주차
挑戰者	Challenger	챌린저
挑戰結束	End Challenge	도전 종료
黑暗恐懼	Darkness Fear	어둠의 공포
卡巴拉之杖	Staff of Kabbalah	카발라의 지팡이
卡巴拉的服裝	Kabbalah Garments	카발라의 의복
需要槍彈者1階	Bulletmarker 1st Circle Required	불릿 마커 1서클 필요
需要槍彈者2階	Bulletmarker 2nd Circle Required	불릿 마커 2서클 필요
需要重砲手3階	Canoneer 3rd Circle Required	캐노니어 3서클 필요
需要道士2階	Taoist 2nd Circle Required	도사 2서클 필요
需要龍騎士3階	Dragoon 3rd Circle Required	드라군 3서클 필요
需要昇龍之勢11級	Requires Dragon Soar Lv 11	드래곤소어 11레벨 필요
需要附魔師2階	Enchanter Circle 2 Required	인챈터 2서클 필요
需要妖術師3階	Featherfoot 3rd Circle Required	페더풋 3서클 필요
需要刀騎兵2階	Hackapell 2nd Circle Required	하카펠 2서클 필요
需要審判者2階	Inquisitor Circle 2 Required	인퀴지터 2서클 필요
需要卡巴拉3階	Kabalist 3rd Circle Required	카발리스트 3서클 필요
需要神聖烙印10級	Requires Divine Stigma Level 10	디바인 스티그마 10레벨 필요
需要槍騎兵2階	Lancer 2nd Circle Required	랜서 2서클 필요
需要鬥牛士1階	Matador 1st Circle Required	마타도르 1서클 필요
需要鬥牛士2階	Matador 2nd Circle Required	마타도르 2서클 필요
需要梅勒肯2階	Mergen 2nd Circle Required	메르겐 2서클 필요
需要角鬥士2階	Murmillo 2nd Circle Required	무르밀로 2서클 필요
需要火槍手3階	Musketeer 3rd Circle Required	머스킷티어 3서클 필요
需要瘟疫醫生3階	Plague Doctor Circle 3 Required	플레이그닥터 3서클 필요
需要感染11級	Requires Pandemic Level 11	판데믹 11레벨 필요
需要賢者2階	Sage Circle 2 Required	세이지 2서클 필요
需要暗影師1階	Shadowmancer 1st Circle Required	섀도우맨서 1서클 필요
需要暗影師2階	Shadowmancer 2nd Circle Required	섀도우맨서 2서클 필요
需要聖殿騎士3階	Templar Circle 3 required	템플러 3서클 필요
需要咒術師3階	Warlock 3rd Circle required	워록 3서클 필요
需要狂熱者1階	Zealot 1st Circle Required	질럿 1서클 필요
需要狂熱者2階	Zealot Circle 2 required	질럿 2서클 필요
新手玩家之書	New Savior's Tome 	신규 유저의 서
回歸玩家之書	Returning Savior's Book 	복귀 유저의 서
回歸玩家的藥水	Returning Savior's Potion	복귀 유저의 포션
新年祈願	Make a New Year's Wish	새해 소망 기원
超級盔甲	Super Armor	슈퍼아머
瞬間迴避	Instant Evasion	순간회피
透徹的舉報精神	Clear Signal	투철한 신고정신
需要寬恕者3階	Pardoner 3rd Circle required	파드너 3서클 필요
鮮艷的雨傘 1階段	Colorful Umbrella Stage 1	컬러풀한 우산 1단계
鮮艷的雨傘 2階段	Colorful Umbrella Stage 2	컬러풀한 우산 2단계
鮮艷的雨傘 3階段	Colorful Umbrella Stage 3	컬러풀한 우산 3단계
鮮艷的雨傘 4階段	Colorful Umbrella Stage 4	컬러풀한 우산 4단계
鮮艷的雨傘 5階段	Colorful Umbrella Stage 5	컬러풀한 우산 5단계
家門的榮光	Family Glory	가문의 영광
